Data;Servico;Midia;Tipo;competencia;Agencia;NF;Subcontratado;NF; Bruto PI ; Bruto PUP ; Comisao/B. Calculo ; IR ; ISS ; Liquido ;PP;Data Pagt;RPP;RPNP;local;Data;Relatorio;Campanha;situacao;
19/04/2017;veiculacao;TV;normal;mar/17;Propeg;29815;Cancao Nova;561;9.855,30;;1.556,10;23,34;77,81;9.754,15;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
19/04/2017;veiculacao;Jornal;normal;mar/17;Propeg;30002;Metro;82080;30.067,98;;4.747,58;71,21;237,38;29.759,39;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
19/04/2017;veiculacao;Jornal;normal;mar/17;Propeg;30003;Na Hora H;97889;31.666,64;;5.000,00;75;250;31.341,64;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
19/04/2017;producao;Pesquisa;normal;mar/17;Propeg;30012;O&P Brasil Opiniao;46;35.000,00;;35.000,00;525;;34.475,00;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
20/04/2017;veiculacao;Jornal;Alternativo;mar/17;Propeg;30061;DF Not°cias;541;7.410,00;;1.170,00;17,55;58,5;7.333,95;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
26/04/2017;veiculacao;Radio;normal;mar/17;Propeg;30110;Atividade Fm;1475;9.718,50;;1.534,50;23,02;76,73;9.618,75;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
26/04/2017;veiculacao;Radio;normal;mar/17;Propeg;30111;Executiva Fm;496;4.225,07;;667,12;10,01;33,36;4.181,70;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
02/05/2017;veiculacao;Jornal;Alternativo;mar/17;Propeg;29449;Correio da Mulher;503;4.940,00;;780;11,7;39;4.889,30;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
02/05/2017;veiculacao;Jornal;Alternativo;mar/17;Propeg;30246;Guara Hoje;841;6.175,00;;975;14,63;48,75;6.111,62;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
05/05/2017;veiculacao;Radio;normal;mar/17;Propeg;30083;Antena 1 Fm;5931;9.358,83;;1.477,71;22,17;73,89;9.262,77;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
05/05/2017;veiculacao;TV;normal;mar/17;Propeg;30399;Boa Vontade;1452;9.188,88;;1.450,88;21,76;72,54;9.094,58;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
05/05/2017;veiculacao;Jornal;Alternativo;mar/17;Propeg;30062;Bras°lia Agora;2622;7.410,00;;1.170,00;17,55;58,5;7.333,95;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
05/05/2017;veiculacao;Radio;normal;mar/17;Propeg;30392;JK Am;1526;2.445,30;;386,1;5,79;19,31;2.420,20;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
05/05/2017;veiculacao;Radio;normal;mar/17;Propeg;30519;JK Fm;97/001;9.839,34;;1.553,58;23,3;77,68;9.738,36;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
05/05/2017;veiculacao;Radio;normal;mar/17;Propeg;30522;Mix Fm;69/001;10.383,12;;1.639,44;24,59;81,97;10.276,56;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
